user_id,item_id,rating
420272,2260466,10.0
273551,153475,10.0
909926,126335,8.0
151944,616682,10.0
734848,364092,8.0
336066,568429,10.0
86661,130259,10.0
154309,1729232,10.0
185966,1077123,8.0
533900,130259,8.0
87660,1295171,10.0
391778,143094,8.0
721308,123793,10.0
829124,2595752,10.0
499943,909221,10.0
339899,1622747,10.0
649288,172027,8.0
16800,1229740,10.0
661150,900878,10.0
983550,197391,8.0
497541,382883,8.0
862005,134393,10.0
289165,241461,10.0
610914,1739627,10.0
513479,1133906,10.0
110746,872951,10.0
854094,123373,10.0
729616,1064397,8.0
908171,174086,8.0
276186,2251739,10.0
351728,1497935,10.0
606693,1542652,8.0
126879,1406963,4.0
956351,1854157,10.0
214108,2872079,10.0
345053,1754771,8.0
407375,321674,6.0
804645,1312996,10.0
268942,1829354,8.0
375120,973512,10.0
597998,2884139,10.0
970594,1048184,10.0
112436,298830,10.0
335862,131533,10.0
880778,1726756,10.0
871986,808736,8.0
234006,206536,10.0
742630,1923283,10.0
335330,1730182,10.0
208980,1851598,10.0
24792,2107747,10.0
948424,1472909,6.0
269712,259136,8.0
85681,135750,8.0
468958,2410627,10.0
383116,126335,10.0
397123,982932,10.0
623308,2529552,10.0
576569,1091654,10.0
693094,130259,8.0
434928,2429745,10.0
321791,131533,10.0
877347,1731468,8.0
367158,1379493,10.0
767667,806803,10.0
671344,1764436,10.0
297874,734229,8.0
53744,714374,10.0
203660,1126889,6.0
704778,1415952,10.0
650436,1009845,8.0
545501,1987884,10.0
669880,1896920,10.0
968848,714374,10.0
486976,1414750,8.0
538528,672419,10.0
428934,174086,10.0
713380,838983,10.0
333312,224876,10.0
350548,144931,10.0
172378,146684,10.0
65339,1469072,10.0
974850,144585,6.0
219194,1146287,10.0
496321,2904350,10.0
321146,655967,10.0
526461,883661,8.0
603920,191514,10.0
981029,181161,6.0
581264,417055,10.0
358518,722678,10.0
216819,740349,10.0
1066,125564,10.0
963584,1072520,10.0
975877,1671465,10.0
211039,1226293,10.0
664723,883661,10.0
189386,1111873,10.0
548864,386314,10.0
723815,152836,8.0
130278,125564,8.0
41413,284665,10.0
755121,2158338,10.0
324537,1207360,10.0
76026,376859,10.0
832715,1871026,4.0
649616,1840637,8.0
738034,1453669,10.0
617526,1822664,10.0
950059,890105,8.0
986926,1261393,10.0
464298,180843,10.0
173819,193179,10.0
790516,167112,10.0
849315,2576170,10.0
194525,141300,6.0
918700,1303995,10.0
5751,714374,10.0
704283,2155094,10.0
303584,467817,8.0
299660,141761,6.0
500128,131533,10.0
32925,985087,10.0
391310,1318793,8.0
250765,2809120,8.0
977243,1640697,8.0
471322,1523882,10.0
855337,188052,10.0
486610,188485,8.0
274558,138431,10.0
547377,199457,8.0
517138,139086,10.0
863479,1973037,8.0
738480,722678,8.0
885043,2650125,10.0
15218,360595,10.0
748703,127865,10.0
449664,1153545,10.0
483798,1526552,4.0
915696,757774,10.0
979081,1689615,2.0
921464,2533108,10.0
613517,1420896,10.0
762967,180843,10.0
676918,123373,8.0
809490,1454376,10.0
52033,1057664,10.0
517457,1754771,10.0
739261,391525,10.0
318771,452942,8.0
912090,182915,8.0
302239,1551720,10.0
979614,1420770,10.0
29297,834814,8.0
649685,1010328,10.0
878547,2202458,8.0
965253,130259,6.0
509694,1581933,6.0
107270,156607,8.0
857203,181453,8.0
88691,126335,10.0
494310,164593,10.0
453477,1497935,10.0
246256,131117,8.0
666260,137585,8.0
883846,131698,10.0
592448,168592,10.0
658704,2160087,8.0
178320,2755484,8.0
595328,1424454,10.0
